2024-11-21 10:56:40,947 DEBUG   HandlerThread:274281 [system_monitor.py:probe():223] {'os': 'Linux-5.15.0-117-generic-x86_64-with-glibc2.35', 'python': '3.12.7', 'heartbeatAt': '2024-11-21T09:56:40.924822', 'startedAt': '2024-11-21T09:56:39.883972', 'docker': None, 'cuda': None, 'args': ('--config', '/homes/tsommariva/neumeta/neumeta/config/cifar100/resnet20_cifar100_32-64-200e-ccordnoise-bs128-400e.yaml'), 'state': 'running', 'program': '/homes/tsommariva/neumeta/neumeta/train_cifar10.py', 'codePathLocal': 'neumeta/train_cifar10.py', 'codePath': 'neumeta/train_cifar10.py', 'git': {'remote': 'https://github.com/Adamdad/neumeta.git', 'commit': '1a2f4a087dd7100e1e16dfca523dc68419e6200b'}, 'email': None, 'root': '/homes/tsommariva/neumeta', 'host': 'ailb-login-03', 'username': 'tsommariva', 'executable': '/homes/tsommariva/.conda/envs/neumeta/bin/python', 'cpu_count': 28, 'cpu_count_logical': 56, 'cpu_freq': {'current': 1.469607142857144, 'min': 1200.0, 'max': 3300.0}, 'cpu_freq_per_core': [{'current': 1.197, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 3.166, 'min': 1200.0, 'max': 3300.0}, {'current': 3.3, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 2.1, 'min': 1200.0, 'max': 3300.0}, {'current': 1.6, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.4, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 2.991, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 3.3, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 3.3, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.33, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 2.1, 'min': 1200.0, 'max': 3300.0}, {'current': 1.218, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}, {'current': 2.1, 'min': 1200.0, 'max': 3300.0}, {'current': 1.2, 'min': 1200.0, 'max': 3300.0}], 'disk': {'/': {'total': 239.74287796020508, 'used': 76.74659729003906}}, 'gpu': 'Tesla P100-PCIE-16GB', 'gpu_count': 1, 'gpu_devices': [{'name': 'Tesla P100-PCIE-16GB', 'memory_total': 17179869184}], 'memory': {'total': 251.6204071044922}}
2024-11-21 10:56:40,947 INFO    HandlerThread:274281 [system_monitor.py:probe():224] Finished collecting system info
2024-11-21 10:56:40,947 INFO    HandlerThread:274281 [system_monitor.py:probe():227] Publishing system info
2024-11-21 10:56:40,947 DEBUG   HandlerThread:274281 [system_info.py:_save_conda():207] Saving list of conda packages installed into the current environment
2024-11-21 10:56:41,721 INFO    Thread-17 :274281 [dir_watcher.py:_on_file_created():271] file/dir created: /homes/tsommariva/neumeta/wandb/run-20241121_105639-x505krzh/files/conda-environment.yaml
2024-11-21 10:56:46,327 DEBUG   HandlerThread:274281 [system_info.py:_save_conda():222] Saving conda packages done
2024-11-21 10:56:46,330 INFO    HandlerThread:274281 [system_monitor.py:probe():229] Finished publishing system info
2024-11-21 10:56:46,336 DEBUG   HandlerThread:274281 [handler.py:handle_request():146] handle_request: status_report
2024-11-21 10:56:46,336 DEBUG   HandlerThread:274281 [handler.py:handle_request():146] handle_request: keepalive
2024-11-21 10:56:46,338 DEBUG   SenderThread:274281 [sender.py:send():379] send: files
